Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2023-2024),2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,0,0,0,No data,0,0,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0,0,0,No data,0,0,,,,,,,,,,,,,,0
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,-1.3,-0.7,1.2,2.4,2.2,No data,4.7,8.3,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,1.0,7.1,1.8,No data,No data,No data,3.9,3.9,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,15868.0,13536.297,7558.175,-30652.088,-26102.74,No data,34881.303,51715.016,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,0.0,0.1,0,0,-0.1457,No data,0.1454,0,,,,,,,,,,,,,,0
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,2242.0,1989.283,2615.434,2923.795,2365.121,2890.944,3114.163,3635.338,2735.472,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,1808.0,4947.678,4098.583,5674.026,1691.57,No data,0,596.568,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,9451.0,14245.936,2219.413,1213.783,1608.708,No data,0,4802.375,,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,56597.0,48777.561,41893.122,57131.652,62101.581,54312.563,49291.316,53276.036,45171.944,,,,,,,,,,,,,
New South Wales - Country,"Major—100,000+ connected properties",Central Coast Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,63162.0,52021.479,47719.065,56490.98,57377.258,52261.313,50153.381,56650.376,40412.678,,,,,,,,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,66208.0,66580.032,67427.907,69715.619,65407.778,70696.18,65134.039,62537.759,63790.596,60701.197,64657.469,67732.363,60990.508,64370.809,65885.337,58521.517,48034.259,50052.783,51486.727,49940.249,41675.206,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,86540.0,88170.373,88769.685,97376.35,90839.335,101444.549,89913.213,88454.924,91590.271,88620.724,82591.011,91099.754,75220.713,79482.839,98696.558,65539.074,53461.488,57308.955,55137.935,43643.938,41166.01,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,171794.0,171985.998,175763.986,187207.911,167863.193,181408.544,165762.702,166412.732,179773.844,162314.125,169394.931,172639.937,163958.205,153320.378,164581.895,124062.069,101495.747,107361.738,106624.662,93584.187,82841.216,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,27.0,27,27.15198272,27,26,28,28,27.6,28.4,27,28.1,28,26.6,26.7,29,29,27,30,35,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,865.69,880.11,901.57,946.69,908.91,997.04,933.31,908.98,939.06,907.61,980.23,1039.37,947.65,1012.31,1045.8,959.22,803.19,842.83,884.01,883.93,744.08,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,1236.29,1296.62,1319.99,1471.05,1407.07,1595.05,1439.23,1438.29,1518.63,1517.48,1444.28,1620.17,1357.28,1508.5,1827.71,1260.74,1043.99,1131.12,1107.85,900.67,857.23,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue,F7,Derived,Total income per property,$/property,,2246.26,2273.44,2350.1,2542.16,2332.63,2558.44,2375.24,2418.79,2646.46,2426.95,2567.89,2649.07,2547.52,2411.15,2612.42,2033.73,1696.3,1810.1,1829.66,1655.69,1479.58,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.0432,0.044,0.0446,0.0427,0.0475,0.0415,0.0445,0,0.0423,0.04,0.039,0.0397,0.0389,0.0342,0.0408,0.0452,0.0152,0.0191,0,0.0,,0
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,627645.0,655997.707,617769.754,646919.334,608833.896,620983.198,549248.531,548963.407,452752.191,450499.358,470191.702,473739.605,478535.85,511838.481,338717.539,348300.204,363813.369,367386.667,359777.742,380763.64,373408.68,404333.865
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,910642.0,964783.667,917679.456,909433.019,745220.151,759351.462,683967.154,678158.976,815185.777,782582.298,751379.935,730576.055,743960.952,798349.556,386570.066,397338.856,409154.588,397629.122,385775.765,374979.605,392809.562,385825.371
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,614.5,563.9,561.86,590.56,608.21,626.5,624.66,590.74,599.59,625.59,620.47,609.94,584.39,647.14,556.35,585.29,570,592.34,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,742.57,736.47,794.76,817.89,884.1,872.36,860.55,828.96,876.69,904.93,948.95,1108.21,971.74,1206.88,582.72,597.11,611.15,699.47,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,23588.0,25753.352,19009.856,14394.856,21580.838,18143.373,26942.261,16597.028,16853.995,12557.764,12454.935,18210.043,18320.431,23531.969,18022.699,13603.537,14769.807,24262.335,34408.29,22438.04,16421.142,13125.545
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,17443.0,20201.282,23638.605,51291.226,32013.174,29235.722,21207.764,21621.873,23807.706,48566.34,46143.871,51020.521,32164.482,45997.623,31355.192,115884.28,160033.928,93493.72,43073.217,19024.538,13064.22,11262.757
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,41031.0,45955,42648,65686,53594,47379,48150,38219,40662,61124,58599,69231,50485,69530,49378,129488,174804,117756,77482,41463.0,29485,24388
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,308.42,340.43,254.17,195.47,299.89,255.88,386.06,241.24,248.11,187.77,189.01,279.42,284.66,370.07,286.08,223.18,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,249.1857,297.0776,351.5034,774.8505,495.8746,459.6811,339.4709,351.5751,394.7489,831.6138,806.866,907.3558,580.4094,872.9858,580.6496,2228.8281,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,-0.39,0.7,0,2.92,-0.3,1,0.17,0.3,0.01,0.5,1.2,2.4,1.83,2.41,5.28,2.1,-0.2,0.4,1.3,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,-0.35,0.4,0,1.48,0.5,2,1.4,1.7,0.02,1.7,0.7,1.6,-2.12,-1.01,12.4,4.1,1.1,1.8,2.2,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,-0.37,0.53,0,2.08,0.15,1.65,0.85,1.1,0.02,1.3,1,1.9,1.69,0.32,9.07,3.2,0.5,1.1,1.7,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,29.1,27.6,33,31.5,35.1,33.1,36,35.2,0.4,36.6,33.2,30.6,27.5,22.4,25.9,27.4,15,-0.5,5.2,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,0.17,1.16,1.06,1.655604,0.52,1.52,1.06,1.14,1.61,1.12,1.35,1.4,1.04,1.11,2.84,1.2,0.9,>100,>100,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,-10707.14,2143.094,772.018,9104.792,-7378.329,8363.759,1029.538,2490.673,11481.65,428.033,4292.423,4210.763,-5711.527,1781.906,30449.507,2092.852,-413.024,5559.495,12497.802,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,-0.0623,0.0125,0.0044,0.0486,-0.044,0.0461,0.0062,0,0.0026,0.0253,0.0244,-0.0348,0.0116,0.185,0.0169,-0.0041,0.0518,0.1172,0,0.0,,0
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,7424.16,7562.549,7846.181,7989.371,7966.692,7532.505,7375.859,7203.562,6999.218,6861.34,6778.196,6734.543,6515.331,5969.616,5632.595,5056.247,4590.513,1630.512,2037.28,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,1070000.0,0,0,0,0,0,0,0,0,269.122,469.26,0,0,0,0,0,0,0,267.636,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12565.995,25914.902,60146.788,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,46996.912,42658.682,42021.57,43489.003,43768.322,44421.909,43593.971,40642.459,40729.962,41839.562,40972.889,40302.824,40149.117,38261.957,35050.156,35690.809,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Gippsland Region Water Corporation,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,51980.067,50080.383,53447.279,54140.144,57076.921,55481.707,53761.139,50980.491,52873.991,52847.949,54268.581,60084.707,62814.472,54675.948,31466.416,31033.623,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,24686.863,19510.414,19114.474,25777.868,22264.513,21455.259,19708.131,19459.487,21656.043,22646.009,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,11300.034,10505.824,10560.555,11580.687,10252.215,9624.612,9101.485,9827.935,9352.209,9673.028,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,35986.897,30016.238,29675.025,37358.553,32516.728,31079.871,28809.616,29287.423,31009.817,32320.062,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,51.0,47,49,57,57.8,60.5,64.6,No data,No data,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,1997.0,1579.79,1545.85,2136.23,1734.19,1670.85,1697.95,1677.69,1871.42,1942.2,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,1170.26,1088.46,1093.11,1134.92,1046.43,982.71,927.21,1001.73,954.41,1031.68,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,2911.09,2430.47,2399.93,3095.93,2532.03,2420.37,2482.09,2525,2679.73,2771.87,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,199561.55,196101.239,203241.973,215673.848,220491.507,223837.072,232728.366,233547.231,200467.333,214496.958,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,141499.31,140535.731,160291.45,171011.524,175751.474,156843.118,151547.599,153460.195,112190.302,134195.961,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,1384.42,1205.32,1037.63,869.7,617.91,646.11,765.51,1164.46,1427.46,1385.34,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,349.54,305.76,370.34,380.05,324.35,268.52,336.03,348.42,512.76,733.04,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,13260.31,11968.619,9501.355,8334,3313.476,1643.719,1360.465,2413.228,499.007,34366.93,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,3758.24,2365.515,4223.86,3047.499,1660.903,11036.697,18793.764,4233.663,616.86,499.799,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,17019.0,14335,13726,11382,4974,12681,20154,6647,1116,34867,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,1072.67,969.12,768.4,690.64,258.04,128.01,117.21,208.05,43.12,2947.42,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,389.2129,245.0803,437.2101,298.6581,169.5832,1126.8835,1914.6051,431.522,62.9514,53.3062,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,0.8,-0.6,0.4,4.5,3.9,3.3,2.3,-1.5,0.6,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,2.8,2.5,1.4,1.6,1.2,1.9,1.2,1.6,0.6,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,1.6,0.7,0.8,3.2,2.7,2.7,1.9,-0.3,0.6,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,-4.6,-4.3,-1,-6.4,-5.5,-5.6,-5.7,-7.5,No data,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,3.4,2.8,0,2.5,2.7,3.8,0.7,-1,No data,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,2115.225,1660.782,-2903.85,1728.254,2168.619,1377.097,2213.64,-3260.261,No data,,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,0.0588,0.0553,-0.1,4.6,0.1,0.0443,0.0768,0,0,,,,,,,,,,,,,0
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,599.265,624.467,432.727,338.624,387.103,49.609,51.821,160.351,0,138.406,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,0.0,0,0,0,888.976,2247.979,2773.068,1242.851,0,0,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,17114.199,14885.79,12830.257,10494.651,7941.983,8296.741,8885.162,13506.588,16518.617,16148.504,,,,,,,,,,,,
Queensland,"Small—10,000–20,000 connected properties",Central Highlands Regional Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,3375.172,2951.151,3577.786,3877.982,3176.243,2629.929,3298.508,3418.317,5024.585,6878.666,,,,,,,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,52492.07,45169.914,47567.19,49081.862,48903.663,51397.916,50378.468,48098.892,50816.066,47297.62,50607.475,50249.709,47833.866,43728.15,49247.888,38661.595,26611.866,29284.627,32177.988,32000.532,31501.573,31281.145
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,55745.0,56669.993,57328.132,57692.706,57995.575,57293.619,58050.526,57043.949,57217.374,55582.746,53506.903,51484.897,49051.212,52466.776,47293.515,42811.826,41079.906,42886.406,37131.692,31712.586,28916.16,26117.658
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,128105.99,141900.208,143535.886,145365.342,140368.583,138314.943,130837.747,126743.946,125825.384,122863.345,122296.509,120686.22,106641.642,103196.474,99837.692,87237.631,80945.126,79001.855,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,55.31,56.64,49.33,50.72,50.21,51,52,51.7,53.9,51.5,46.4,50,32.1,46.3,52,50.3,61.4,66,74.8,74.1,76,78
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,660.19,577.82,623,659.81,678.01,723.36,724.2,704.73,758.2,714.57,776.33,785.96,762.17,710.09,814.42,654.76,455.7,510.42,572.58,579.24,582.92,589.91
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,801.41,832.9,866.26,898.4,928.3,936.85,968.61,969.63,995.98,983.94,965.85,954.87,930.59,1016.66,930.56,855.76,842.81,894.81,789.93,693.08,642.92,593.42
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue,F7,Derived,Total income per property,$/property,,1611.17,1815.21,1879.92,1954.16,1946.1,1946.61,1880.8,1857.03,1877.38,1856.23,1876.06,1887.67,1699.2,1675.78,1651.03,1478,1386.91,1376.88,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.047,0.0463,0.0473,0.0536,0.0513,0.05,0.0553,0,0,0,0,0,0,0,0,0,0,,,,,0
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,1114816.25,880172.194,843391.616,894323.861,616296.799,611759.767,624895.417,896429.167,902433.929,516230.581,525623.516,544924.927,593018.347,610494.851,546.43,561779.958,324754.386,330146.402,539350.315,568000.653,569783.458,597616.123
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,423533.64,430909.17,389264.141,395762.806,399440.44,392344.304,393314.365,392911.538,398266.497,392550.898,394619.188,392141.761,376800.561,382831.096,383.479,370960.941,380873.86,342434.319,373884.605,381438.305,373681.28,353850.728
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,494.02,478.26,460.94,486.85,511.24,536.38,495.02,537.42,520.4,501.21,529.8,556.74,597.27,397.27,595.12,706.49,644.68,545.08,515.81,306.36,305.17,335.34
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,575.8,660.43,622.3,652.97,687.51,695.49,661.95,505.6,492.33,476.23,505.55,535.35,542.15,312.84,457.9,422.71,627.92,367.06,361.71,301.34,156.02,150.99
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,The increase is mainly due to the Daylesford Superpipe project which is in the construction phase.,22262.0,13472.731,5104.068,8528.556,10286.905,15702.822,13706.29,14653.582,11919.022,10773.867,9418.248,5014.861,16874.406,21543.976,47690.548,71433.348,177419.047,63314.281,14054.959,38183.005,12704.183,14027.971
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,The increase is mainly due to the Ballarat South plant sewer outfall project which is in the construction phase.,25803.0,16282.112,17812.358,15590.037,11787.797,11588.293,7540.943,8743.442,10517.156,8786.205,8961.131,13650.055,13601.677,14931.871,4118.758,14695.781,30886.896,44761.101,10332.382,22275.651,28616.129,19054.514
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,48065.0,29755,22917,24118,22074,27291,21247,23397,22436,19560,18379,18665,30476,36476,51809,86129,208306,108075,24387,60459.0,41320,33082
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,279.99,172.35,66.85,114.65,142.62,221,197.03,214.7,177.84,162.77,144.48,78.44,268.87,349.85,788.67,1210.48,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,370.9513,239.3056,269.1542,242.7712,188.6802,189.4875,125.825,148.6222,183.0726,155.5399,161.7562,253.1632,258.0252,289.3381,81.035,294.1225,,,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0,0.4,0.35,-1.07,-1.61,-14.38,-2.5,-6.4,-1.9,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,0.01,0.01,0.01,0.02,0.08,0.07,0.07,0.08,0.06,1.79,1.49,1.41,0.3,3.26,18.1,3.9,1.2,7.3,,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,0.02,0.01,0.02,0.03,0.1,0.1,0.1,0.1,0.07,1.83,1.89,1.76,-0.77,0.26,-0.99,0.1,-2.3,2.8,1.8,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,7.5,6,6.5,6.8,10.3,10.9,0.1,12.1,12.7,16.9,17.9,18.9,18.2,21.6,19.5,14.4,9.2,6.8,4,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,4.73,6.98,6.06,5.58,5.18,4.46,4.36,3.77,3.2,2.25,1.85,1.46,0.49,0,0.65,0,0,0.2,0,,,
Victoria,"Large—50,000–100,000 connected properties",Central Highlands Water,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,-3515.08,12880.521,12994.269,22746.367,19018.588,16190.823,15217.22,10317.413,12748.259,12749.994,9412.567,5172.075,-5834.768,-3541.399,-3026.173,-10017.902,-6974.165,-1758.117,-8293.48,,,
